,LINK_SP,PRODUCT_INFO_ID,GROUP_PRODUCT_NAME,PRODUCT_CODE,NON_VAT_PRICE_1,VAT_PRICE_1,COMMISSION_1,THRESHOLD_1,NON_VAT_PRICE_2,VAT_PRICE_2,COMMISSION_2,THRESHOLD_2,NON_VAT_PRICE_3,VAT_PRICE_3,COMMISSION_3,PRODUCT_NAME,SPECIFICATION_BACKUP,RAW_PRICE,QUANTITY_SOLD
0,/input/mobile_images/2023/12/28/148/BÀN ỦI KHÔ BLUESTONE DIB-3726.png,509295,Bàn là,M&EBL100021,309100,340010,3091,Giá trị đơn hàng > 10 triệu,315800,347380,6316,Giá trị đơn hàng từ 5-10 triệu,342600,376860,19185.6,Bàn Ủi Khô Bluestone DIB-3726 1300W,"
• Công suất: 1300W 
• Mặt đế: Hợp kim nhôm 
• Chức năng: Ủi khô 
• Tiện ích: Có rãnh cúc tiện lợi; Không xoắn dây (dây nguồn xoay 360 độ) 
• Kích thước: Ngang 25 cm - Cao 13 cm - Sâu 11.2 cm 
• Khối lượng: 0.7 kg 
• Thương hiệu của: Singapore
giá: 376860",376860,23
1,/input/mobile_images/2024/1/23/525/Bàn ủi hơi nước Philips GC1740-20.jpg,571578,Bàn là,M&EGD000254,463300,509630,4633,Giá trị đơn hàng > 10 triệu,473500,520850,9470,Giá trị đơn hàng từ 5-10 triệu,513600,564960,28761.6,Bàn ủi hơi nước Philips GC1740/20 2000W,"
• Màu sắc: Xanh dương nhạt 
• Loại bàn ủi: Hơi nước 
• Chiều dài dây dẫn: 1.9m 
• Chất liệu đế: Chống dính 
• Công suất: 2000W 
• Dung tích bình nước: 220 ml 
• Tự làm sạch: Tự làm sạch - chống đóng cặn 
• Điều chỉnh hơi nước: Ủi khô, Ủi hơi nước, Phun tia, Phun hơi tăng cường 
• Khối lượng sản phẩm (kg): 1.01 kg 
• Kích thước sản phẩm: 290 x 156 x 129 mm
giá: 564960",564960,54
2,/input/mobile_images/2024/3/2/162/17f821b4-7d00-4749-bcfd-09b1f7206026 (1).jpg,622476,"Bàn ủi, Máy sấy tóc",M&EGD000251,288900,317790,2889,Giá trị đơn hàng > 10 triệu,295300,324830,5906,Giá trị đơn hàng từ 5-10 triệu,320300,352330,17936.8,Máy sấy tóc 1200W Philips BHC010/10,"
• Công suất: 1200W 
• Tốc độ sấy: 2 tốc độ, có sấy mát 
• Đầu sấy: Đầu sấy hẹp 
• Kiểu dáng: Tay cầm gấp gọn 
• Chế độ bảo vệ: Tự ngắt khi quá nhiệt; Chế độ sấy bảo vệ tóc 
• Tiện ích: Có móc treo 
• Kích thước: Ngang 11.4 cm 
• Cao 22 cm 
• Rộng 7.7 cm 
• Khối lượng: 370g 
• Chiều dài dây điện: 150 cm 
• Thương hiệu của: Hà Lan
• Hãng: Philips.
giá: 352330",352330,6
3,/input/mobile_images/2024/2/17/373/BÌNH NƯỚC NÓNG GIÁN TIẾP 15 lít AN2 15 B 2.5 FE.png,571643,Bình nước nóng,M&EGD000260,2178900,2396790,21789,Giá trị đơn hàng > 30 triệu,2226700,2449370,44534,Giá trị đơn hàng từ 15-30 triệu,2415500,2657050,135268,Bình nước nóng gián tiếp 15 lít AN2 15 B 2.5 FE,"Loại: Máy nước nóng gián tiếp 
Dung tích: 15 lit 
Công suất: 2500W 
Nhiệt độ tối đa: 75 độ C 
Hệ thống chống rò điện: ELCB, Bộ ổn định nhiệt TBST, Vỏ chống thấm nước 
Thời gian đun nóng: 21 phút 
Điều chỉnh nhiệt độ: có 3 mức (thấp ,trung bình ,cao) 
Kích thước(Dài x Rộng x Dày) : 36 x 36 x 32 cm 
Áp lực nước hoạt động: Tối đa 0.75 Mpa 
Bảo hành: 2 năm 
giá: 2634876",2634876,10
4,/input/mobile_images/2024/2/17/584/BÌNH NƯỚC NÓNG GIÁN TIẾP 20 lít SL2 20 B 2.5 FE.png,571642,Bình nước nóng,M&EGD000259,2329700,2562670,23297,Giá trị đơn hàng > 30 triệu,2380700,2618770,47614,Giá trị đơn hàng từ 15-30 triệu,2582700,2840970,144631.2,Bình nước nóng gián tiếp 20 lít SL2 20 B 2.5 FE,"Dung tích : 20 lít 
Loại máy : gián tiếp 
Chống giật : ELCB 
Thanh đốt bằng đồng 
Công suất : 2,5kW 
Điện năng : 220V 
Thời gian gia nhiệt : 31 phút 
Nhiệt độ làm việc tối đa : 80 °C 
Áp suất làm việc tối đa : 0,8 Mpa 
Chỉ số bảo vệ chống xâm nhập : IPX1 
Khối lượng tịnh : 12kg 
Tổng khối lượng: 14kg 
Kích thước : 704x282x301 WxHxD mm 
Bảo hành : 24 tháng 
giá: 2817180",2817180,18
5,/input/mobile_images/2024/2/17/72/BÌNH NƯỚC NÓNG GIÁN TIẾP 20 lít SL2 30 B 2.5 FE.png,571641,Bình nước nóng,M&EGD000258,2631300,2894430,26313,Giá trị đơn hàng > 30 triệu,2688900,2957790,53778,Giá trị đơn hàng từ 15-30 triệu,2917000,3208700,163352,Bình nước nóng gián tiếp 30 lít SL2 30 B 2.5 FE,"Dung tích: 30L 
Loại máy : gián tiếp 
Điện áp: 220 V 
Công suất (W): 2,500 
Chống giật : ELCB 
Thanh đốt bằng đồng 
Nhiệt độ hoạt động tối đa (°C): 80 
Áp suất làm việc tối đa : 0.8Mpa 
Khối lượng tịnh: 13 kg 
Kích thước (mm): 757x 331x341 WxHxD mm 
Bảo hành : 24 tháng 
giá: 3181896",3181896,15
6,/input/mobile_images/2024/1/19/328/Máy NLMT Empire 130 Lít Titan EPNL-TT1213.jpg,571241,Bình nước nóng,M&EGD000222,3621200,3983320,36212,Giá trị đơn hàng > 20 triệu,3703900,4074290,74078,Giá trị đơn hàng từ 10-20 triệu,4018100,4419910,225013.6,Máy NLMT Empire 130 Lít Titan EPNL-TT1213,"
• Thương hiệu: EMPIRE 
• Số ống: 12 ống 
• Dung tích: 130 lít 
• Bình bảo ôn: Chất liệu Inox 304 
• Vỏ bảo ôn: Chất liệu Inox 
• Lớp Foam giữ nhiệt: Polyurethane độ dày 50mm được phun áp lực cao giúp bình giữ nhiệt lên đến 71 giờ 
• Khung đỡ: Chất liệu inox 
• Số người sử dụng: 2-3 người 
• Sản xuất theo công nghệ tiêu chuẩn Mỹ 
• Hướng lắp đặt: Hướng nam
• Nguồn nước sử dụng: Nước đã qua xử lý và không bị nhiễm phèn.
giá: 4419910",4419910,9
7,/input/mobile_images/2024/1/19/762/Máy NLMT Empire 160 Lít Titan EPNL-TT1516.jpg,571242,Bình nước nóng,M&EGD000223,4196900,4616590,41969,Giá trị đơn hàng > 20 triệu,4292800,4722080,85856,Giá trị đơn hàng từ 10-20 triệu,4656900,5122590,260786.4,Máy NLMT Empire 160 Lít Titan EPNL-TT1516,"
• Thương hiệu: EMPIRE 
• Số ống: 15 ống 
• Dung tích: 160 lít
• Bình bảo ôn: Chất liệu Inox 304 
• Vỏ bảo ôn: Chất liệu Inox 
• Lớp Foam giữ nhiệt: Polyurethane độ dày 50mm được phun áp lực cao giúp bình giữ nhiệt lên đến 71 giờ 
• Khung đỡ: Chất liệu inox 
• Số người sử dụng: 3-5 người 
• Sản xuất: theo dây chuyền công nghệ Mỹ.
giá: 5122590",5122590,8
8,/input/mobile_images/2024/3/11/971/ẤM SIÊU TỐC AIOSMART AIOKTO2L23WIC5 (1).png,631566,Bình đun nước,M&EGD000242,,,,,,,,,,,,Ấm đun nước AIO Smart AIOKTO2L23W/1C5 (màu trắng),"Màu sắc : Trắng 
Công suất (Danh định): 1500W
Nguồn định mức: 220VAC – 50/60Hz
Dung tích: 1.5L
Chất liệu ruột bình: Inox cao cấp SUS304
Chất liệu vỏ bình: Nhựa PP cách nhiệt bóng
Đế tiếp điện: Xoay 360°
Nút gạt để bắt đầu đun và báo hiệu nước đã sôi
Đèn báo hoạt động
Lưới lọc cặn đá vôi
Tự động tắt khi nước sôi
Tự động tắt khi ấm nước được nhấc khỏi đế
Chiều dài dây: ≥30cm
Kích thước sản phẩm (DxRXC): 221x155x241 mm
Khối lượng sản phẩm: 1.0 kg
Thời gian bảo hành: 12 tháng kích hoạt bảo hành điện tử 
Có giá: 339570",339570,6
9,/input/mobile_images/2023/12/28/446/ẤM ĐUN NƯỚC BLUESTONE  KTB-3417.png,509288,Bình đun nước,M&EAD100002,434000,477400,4340,Giá trị đơn hàng > 10 triệu,443500,487850,8870,Giá trị đơn hàng từ 5-10 triệu,481100,529210,26941.6,"Ấm Đun Nước Bluestone KTB-3417 1,7 lít 2200W","
• Công suất: 1850 - 2200W 
• Dung tích: 1.7 lít 
• Chất liệu ruột bình: Nhựa PP (không chứa BPA) 
• Chất liệu vỏ bình: Nhựa PP 
• Đế tiếp điện: Strix 
• Thương hiệu của: Singapore 
• Chế độ an toàn: Tự ngắt khi nước sôi và khi cạn nước 
• Tiện ích: Lọc bã trà 
Cột hiển thị mực nước 
Đèn hoạt động 
Đế xoay 360 độ 
giá: 529210",529210,38
